portfolio_type,strategy,version,allocation_pct,expected_triggers_per_week,win_rate,roi_pct,avg_odds,min_odds,stake_mode,notes,phase,risk_level
validation,back_draw_00,v2r,20.0,2-3,57.1,50.2,6.50,1.93,flat_10,"Balance óptimo entre sample y ROI",phase_1,medium
validation,xg_underperformance,v2,25.0,3-5,72.7,24.7,2.20,1.51,flat_10,"Filtro SoT>=2 mejora calidad - EVITAR entradas min >75",phase_1,medium-high
validation,odds_drift_contrarian,v1,35.0,8-12,66.7,142.3,2.50,1.65,flat_10,"Mejor estrategia - mayor muestra y ROI",phase_1,low
validation,goal_clustering,v2,20.0,12-18,75.0,72.7,2.96,1.47,flat_10,"Alta frecuencia y excelente ROI",phase_1,low
growth,back_draw_00,v2r,15.0,2-3,57.1,50.2,6.50,1.93,half_kelly,"Bankroll inicial: 500 EUR",phase_2,medium
growth,xg_underperformance,v2,20.0,3-5,72.7,24.7,2.20,1.51,half_kelly,"Considerar upgrade a V3 si fallos tardíos",phase_2,medium
growth,odds_drift_contrarian,v1,35.0,8-12,66.7,142.3,2.50,1.65,half_kelly,"Core de la cartera",phase_2,low
growth,goal_clustering,v2,25.0,12-18,75.0,72.7,2.96,1.47,half_kelly,"Segunda mejor estrategia",phase_2,low
growth,pressure_cooker,v1,5.0,1-2,81.2,81.9,2.41,1.35,half_kelly,"EN PRUEBA - muestra pequeña",phase_2,high
aggressive,back_draw_00,v15,10.0,1-2,75.0,65.0,5.20,1.93,kelly_full,"Máximo WR pero pocos triggers",phase_3,medium
aggressive,xg_underperformance,v3,15.0,2-4,100.0,41.5,2.15,1.51,kelly_full,"V3 con filtro min <70 - MEJOR que V2 hoy",phase_3,low
aggressive,odds_drift_contrarian,v2,30.0,4-8,75.0,165.4,2.70,1.65,kelly_full,"Drift >=35% más selectivo",phase_3,low
aggressive,goal_clustering,v3,25.0,8-12,78.6,85.3,2.80,1.47,kelly_full,"V3 evita goles tardíos",phase_3,low
aggressive,pressure_cooker,v1,20.0,1-2,81.2,81.9,2.41,1.35,kelly_full,"Si se valida con 50+ apuestas",phase_3,medium
conservative,back_draw_00,v15,30.0,1-2,75.0,65.0,5.20,1.93,flat_10,"Pocos triggers pero muy efectiva",phase_1,low
conservative,odds_drift_contrarian,v1,40.0,8-12,66.7,142.3,2.50,1.65,flat_10,"Fundamento sólido",phase_1,low
conservative,goal_clustering,v2,30.0,12-18,75.0,72.7,2.96,1.47,flat_10,"Mayor frecuencia",phase_1,low
testing_v3_v4,xg_underperformance,v3,50.0,2-4,100.0,41.5,2.15,1.51,flat_10,"MIN <70 - debería prevenir fallos de hoy (min 82-96)",testing,low
testing_v3_v4,goal_clustering,v3,50.0,8-12,78.6,85.3,2.80,1.47,flat_10,"MIN <75 - evita zona baja probabilidad",testing,low
